13
15
// ground heights
0
0
0
0
0
0
6
6
10
5
5
5
5
// start and dest heights
5
7
// use queue
1
// square probs
0
0
10
// rs probs
10
0
// squares already in board
0 1 0 1
1 1 1 1
2 1 2 1
3 1 0 1
4 1 1 1
5 1 2 1
0 2 -1 -1
1 2 -1 -1
2 2 -1 -1
3 2 -1 -1
4 2 -1 -1
5 2 -1 -1
0 3 -1 -1
1 3 -1 -1
2 3 -1 -1
3 3 -1 -1
4 3 -1 -1
5 3 -1 -1
0 4 -1 -1
1 4 -1 -1
2 4 -1 -1
3 4 -1 -1
4 4 -1 -1
5 4 -1 -1
0 5 -1 -1
1 5 -1 -1
2 5 -1 -1
3 5 -1 -1
4 5 -1 -1
5 5 -1 -1
0 6 -1 -1
1 6 -1 -1
2 6 -1 -1
3 6 -1 -1
4 6 -1 -1
5 6 -1 -1
